iter	MultiClass
0	1.759549727
1	1.729624302
2	1.705610493
3	1.674729144
4	1.655606904
5	1.63191616
6	1.609938423
7	1.588263549
8	1.568505166
9	1.549713759
10	1.532472549
11	1.514693611
12	1.500028923
13	1.482136585
14	1.467137354
15	1.452704956
16	1.438976583
17	1.421901274
18	1.409125651
19	1.395108522
20	1.382904018
21	1.371793423
22	1.358488834
23	1.34966171
24	1.33660113
25	1.328049524
26	1.318405243
27	1.307601209
28	1.298599957
29	1.289819763
30	1.282590805
31	1.271924358
32	1.262953178
33	1.25621436
34	1.248663142
35	1.240476764
36	1.231886043
37	1.224899273
38	1.217491056
39	1.208845965
40	1.202862295
41	1.196808169
42	1.190157951
43	1.182645926
44	1.175833796
45	1.169756784
46	1.162535787
47	1.155946618
48	1.14915905
49	1.144143427
50	1.139230338
51	1.134480069
52	1.128727028
53	1.122623234
54	1.116934436
55	1.110136508
56	1.104082316
57	1.099148697
58	1.093101407
59	1.088880483
60	1.085300204
61	1.07896185
62	1.074577879
63	1.069777055
64	1.065909104
65	1.060406267
66	1.056923001
67	1.053397454
68	1.048267165
69	1.044552156
70	1.039795255
71	1.036053319
72	1.031610526
73	1.028375748
74	1.023887528
75	1.020663846
76	1.01727222
77	1.012404514
78	1.009318828
79	1.007242192
80	1.003297903
81	1.000346246
82	0.9957249361
83	0.9920934813
84	0.9889156617
85	0.9850710921
86	0.9823110003
87	0.9786472692
88	0.9768599421
89	0.974159706
90	0.9716366612
91	0.9687983322
92	0.9659015742
93	0.9629461293
94	0.9602778439
95	0.9574613386
96	0.954719542
97	0.9521077958
98	0.9503072206
99	0.9473480739
100	0.9445400055
101	0.941787818
102	0.9391351967
103	0.9367556101
104	0.9338460865
105	0.9306664167
106	0.9284671292
107	0.9259968982
108	0.9240713779
109	0.9211961948
110	0.918226371
111	0.9156207683
112	0.9132450944
113	0.91113713
114	0.9089397189
115	0.9062130332
116	0.9038252136
117	0.9016412052
118	0.8993214284
119	0.8971867978
120	0.8948523842
121	0.893011014
122	0.8905932856
123	0.8890514709
124	0.8875234868
125	0.8851115866
126	0.8829497855
127	0.8814332951
128	0.8793576532
129	0.8779809952
130	0.8759779816
131	0.8743243942
132	0.8726944321
133	0.8712071374
134	0.8690909888
135	0.8677079936
136	0.8656818717
137	0.8633443831
138	0.8612479659
139	0.8595527733
140	0.856977982
141	0.8554418115
142	0.853691236
143	0.8524484587
144	0.8510943023
145	0.8490068294
146	0.8475669671
147	0.8456283439
148	0.8439533559
149	0.843025699
150	0.8418396802
151	0.8403125061
152	0.8385647677
153	0.8369459703
154	0.8350262311
155	0.8330363132
156	0.8316295993
157	0.8302609757
158	0.8286040729
159	0.8271945649
160	0.8257297619
161	0.824301073
162	0.8221984332
163	0.8208547557
164	0.8193844155
165	0.8182320857
166	0.8178086675
167	0.8158930384
168	0.8143932767
169	0.8134059577
170	0.812208884
171	0.8106704322
172	0.809537042
173	0.80827959
174	0.8067304023
175	0.805427722
176	0.803780577
177	0.8029502393
178	0.8015762712
179	0.7999521994
180	0.7983887442
181	0.7971793029
182	0.795708833
183	0.7944483731
184	0.7930797093
185	0.7917445852
186	0.7906824488
187	0.7896373143
188	0.7883634618
189	0.7869691075
190	0.7853382913
191	0.784109502
192	0.7834339532
193	0.7820082646
194	0.7801314078
195	0.7792220829
196	0.7784926139
197	0.7768357631
198	0.7760152564
199	0.7748711565
200	0.7740277109
201	0.7734876662
202	0.7724178837
203	0.7713977984
204	0.7705009102
205	0.769635282
206	0.7684400843
207	0.7677273986
208	0.7664919257
209	0.7658099352
210	0.7648182993
211	0.7638269527
