iter	Passed	Remaining
0	830	829924
1	1532	764846
2	2219	737487
3	2915	725945
4	3579	712298
5	4171	691122
6	4733	671525
7	5338	661930
8	5941	654213
9	6629	656342
10	7265	653226
11	7896	650170
12	8475	643467
13	9207	648470
14	9874	648407
15	10702	658219
16	11468	663152
17	12268	669340
18	13042	673407
19	13774	674945
20	14461	674193
21	15224	676816
22	15916	676093
23	16567	673760
24	17256	673015
25	17863	669205
26	18516	667286
27	19193	666288
28	19925	667175
29	20594	665886
30	21359	667657
31	22089	668196
32	22836	669191
33	23550	669119
34	24482	675029
35	25268	676636
36	25953	675479
37	26601	673427
38	27227	670920
39	27892	669411
40	28551	667814
41	29262	667471
42	29988	667424
43	30600	664862
44	31492	668336
45	32118	666107
46	32826	665614
47	33536	665145
48	34186	663502
49	34854	662227
50	35454	659731
51	36136	658804
52	36812	657765
53	37499	656935
54	38193	656240
55	38847	654850
56	39464	652893
57	40147	652046
58	40865	651762
59	41484	649920
60	42151	648859
61	42794	647435
62	43391	645366
63	43969	643054
64	44582	641294
65	45302	641104
66	45950	639884
67	46607	638797
68	47421	639843
69	48018	637964
70	48673	636866
71	49338	635913
72	50080	635949
73	50779	635428
74	51583	636193
75	52208	634748
76	52779	632672
77	53472	632077
78	54101	630722
79	54747	629595
80	55445	629069
81	56075	627774
82	56760	627103
83	57372	625632
84	58020	624576
85	58678	623627
86	59329	622615
87	59978	621596
88	60534	619625
89	61117	617969
90	61771	617034
91	62438	616239
92	63083	615234
93	63768	614617
94	64391	613412
95	64968	611783
96	65599	610679
97	66239	609677
98	66907	608926
99	67627	608650
100	68380	608657
101	69000	607475
102	69630	606391
103	70227	605037
104	70881	604179
105	71644	604251
106	72284	603275
107	73023	603121
108	73605	601671
109	74287	601055
110	74987	600571
111	75713	600297
112	76372	599489
113	77135	599493
114	77990	600185
115	78728	599961
116	79411	599316
117	80064	598446
118	80757	597879
119	81402	596951
120	82152	596792
121	82836	596147
122	83509	595429
123	84244	595150
124	84915	594407
125	85693	594414
126	86436	594168
127	87206	594093
128	87928	593685
129	88704	593635
130	89540	593971
131	90261	593538
132	91041	593479
133	91700	592628
134	92372	591867
135	93068	591257
136	93736	590474
137	94454	589998
